ลำดับ,รหัสวัสดุ,ชื่อวัสดุ,หมวดวัสดุ,ราคาซื้อ,"จำนวน
ซื้อ",หน่วยนับ,"จำนวน
ขั้นต่ำ","จำนวน
สูงสุด",จำนวนสินค้าคงเหลือ,สถานะการเติมสินค้า,"สถานะ
การใช้",ราคาชื้อรวม,"จำนวนการเบิก
ถึงปัจุบัน","เฉลี่ยเบิก
ต่อเดือน",รูปภาพ
1,1ก01,กบเหลาดินสอ (เล็ก),วัสดุสำนักงาน,20.00,24,อัน,2,50,0,วัสดุหมด,ประจำ,480.00,0,0,
2,1ก02,กรรไกร,วัสดุสำนักงาน,65.00,24,อัน,5,50,0,วัสดุหมด,ประจำ,"1,560.00",0,0,
3,1ก18,กระดาษกาว 1.5 นิ้ว,วัสดุสำนักงาน,30.00,,ม้วน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
4,1ก03,กระดาษขาว 150 แกรม,วัสดุสำนักงาน,100.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
5,1ก04,กระดาษขาว 180 แกรม,วัสดุสำนักงาน,110.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"2,200.00",0,0,
6,1ก05,กระดาษขาวอาร์ตมัน 260แกรม,วัสดุสำนักงาน,160.00,,แพ็ค,1,20,0,วัสดุหมด,ประจำ,"3,200.00",0,0,
7,1ก06,กระดาษบวกเลข 2.5 นิ้ว,วัสดุสำนักงาน,78.00,,แพ็ค,1,6,0,วัสดุหมด,ครั้งคราว,468.00,0,0,
8,1ก17,กระดาษเรนโบว์ ห่อของขวัญ,วัสดุสำนักงาน,20.00,,แผ่น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
9,1ก07,กระดาษสติกเกอร์ขาวด้าน A4,วัสดุสำนักงาน,100.00,,แพ็ค,2,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
10,1ก08,กระดาษสติกเกอร์ขาวมันวาว A4,วัสดุสำนักงาน,100.00,,แพ็ค,1,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
11,1ก09,กระดาษสี 120 แกรม,วัสดุสำนักงาน,110.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"2,200.00",0,0,
12,1ก10,กระดาษสี 150 แกรม,วัสดุสำนักงาน,100.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
13,1ก11,กระดาษสี 180 แกรม,วัสดุสำนักงาน,65.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"1,300.00",0,0,
14,1ก12,กระดาษสี 80 แกรม,วัสดุสำนักงาน,100.00,,แพ็ค,3,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
15,1ก13,กาวตราช้าง,วัสดุสำนักงาน,25.00,12,อัน,2,50,0,วัสดุหมด,ประจำ,300.00,0,0,
16,1ก14,กาวแท่ง,วัสดุสำนักงาน,60.00,,แท่ง,10,50,0,วัสดุหมด,ประจำ,"3,000.00",0,0,
17,1ก15,กาวน้ำ,วัสดุสำนักงาน,30.00,,แท่ง,10,50,0,วัสดุหมด,ประจำ,"1,500.00",0,0,
18,1ก16,กาวร้อน,วัสดุสำนักงาน,16.00,,อัน,2,12,0,วัสดุหมด,ประจำ,192.00,0,0,
19,1ข01,ขี้ผึ้งนับธนบัตร,วัสดุสำนักงาน,30.00,12,อัน,3,50,0,วัสดุหมด,ประจำ,360.00,0,0,
20,1ค09,คริสต์มาส ซานต้า-เรนเดียร์มีกระดิ่ง,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
21,1ค10,คริสต์มาสเกล็ดหิมะกากเพชร,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
22,1ค11,คริสต์มาสดาวกากเพชร,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
23,1ค12,คริสต์มาสดาวตกแต่งปีใหม่,วัสดุสำนักงาน,20.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
24,1ค13,คริสต์มาสถุงเท้าซานต้า-สโนว์แมน,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
25,1ค14,คริสต์มาสโบว์กากเพชร,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
26,1ค15,คริสต์มาสป้ายแขวนตกแต่งงานคริสต์มาส 2.5 เมตร,วัสดุสำนักงาน,25.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
27,1ค16,คริสต์มาสป้ายห้อย Merry Christmas,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
28,1ค17,คริสต์มาสลูกบอลตกแต่งต้นคริสต์มาส 3 ซม.,วัสดุสำนักงาน,20.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
29,1ค18,คริสต์มาสลูกบอลตกแต่งต้นคริสต์มาส 5 ซม.,วัสดุสำนักงาน,20.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
30,1ค19,คริสต์มาสลูกบอลตกแต่งต้นคริสต์มาส 6 ซม.,วัสดุสำนักงาน,20.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
31,1ค20,คริสต์มาสสโนว์แมนตกแต่งต้นคริสมาส คละสี,วัสดุสำนักงาน,19.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
